Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Comoros,COM,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,1.833819985,,3.154050112,,,,,,,,19.33918953,,,,,29.96479034,30.17247963,,,,,,,,,,,,30.16967964,,,33.32537079,36.52878189,37.99908066,,,,,,,,,61.10860825,63.14374161,,,57.20885086,61.41450882,
Cabo Verde,CPV,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,12.00282001,,,,,,,,,,,,,,,13.79730988,16.69463921,18.43330956,21.73650932,,,,29.37535095,,,,,,,68.53176117,70.75637817,72.57959747,71.85727692,75.27581787,88.70993805,89.44152069,88.99156189,91.28093719,94.32029724,96.75016785,100.7508392,103.5921021,101.3207397,99.95758057,98.37906647,97.01483154,92.49768066,
Costa Rica,CRI,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,28.67264938,30.30911064,33.39767075,39.37155151,42.15499115,42.76459885,43.74180984,45.1569519,,49.54407883,50.49998856,49.77835083,48.72962952,46.26408005,44.17264175,42.80569077,43.23014069,43.45550919,42.92168045,43.16933823,44.38090897,45.75997925,47.9590683,49.38711929,50.63056946,52.0199585,51.65761185,53.02032089,60.03617096,65.7740097,64.34226227,68.89801025,70.13635254,,81.22814178,83.36052704,90.42951965,91.40632629,93.2203064,100.3484802,103.2151718,105.9226837,109.647049,117.7477036,123.4110107,125.2657776,129.2112732,133.5065613,137.749527,146.6446838
Caribbean small states,CSS,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,55.03638,55.08819,56.18895,56.64102,55.41272,62.341,64.45399,64.85237,66.24293,67.60873,70.82607,68.45418,68.11861,68.10653,67.67341,69.22567,70.72646,71.05728,72.93861,72.84784,73.60505,74.71459,74.92636,73.95396,75.96805,77.9936,80.22712,82.24763,83.80107,85.18638,86.80431,88.14302,89.00492,88.38587,90.2208,90.06598,90.82219,91.2575,91.92428,91.27602,92.18336,92.64887,90.93381,88.90273,88.93341,87.73061,89.64994,89.20445,88.93547,89.88064
Cuba,CUB,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,22.29503059,24.56277084,28.89747047,35.46640015,,,61.90655899,68.26831818,79.53296661,80.53302002,82.0134201,81.05188751,82.54496765,83.86136627,85.51879883,86.62142181,88.82402802,92.15509796,93.46961212,94.82012177,94.05117035,89.57743073,82.7807312,79.92575836,81.66848755,84.24933624,,81.73834229,83.94812775,86.02414703,87.43543243,90.23422241,91.53595734,93.85108185,96.62785339,96.20291138,95.40608215,93.20275879,92.38896942,91.58630371,90.80918121,90.97406769,97.66513824,99.12335968,101.5518036,102.2445984,101.9491577,100.8895264
Curacao,CUW,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.79197693,,,,,,
Cayman Islands,CYM,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,88.21292877,106.4285736,111.4238434,121.3960495,110.4311523,98.97959137,,,76.72234344,99.50298309,,,,,,,,,,,,,,,,,,90.36457825,93.13408661,86.28048706,82.2996521,,83.71951294,77.93183136,78.63863373,78.08075714,84.10127258,,,79.77810669,81.66750336,84.43890381,,,,,77.61798096,
Cyprus,CYP,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,53.01758957,56.52220154,61.17662811,65.1548233,61.26937103,66.4879303,67.17970276,66.11760712,66.83740234,68.69882202,68.4882431,70.74369049,71.57151794,73.90435028,74.11035156,70.34913635,67.38378143,63.99436188,64.56790161,65.12477112,66.6292572,68.82266235,94.27282715,94.42886353,95.42536163,95.26566315,94.49311829,,94.68621063,94.44010925,93.90014648,97.98078156,99.27568054,99.07656097,97.47888947,97.43488312,98.69371796,98.8857193,99.04686737,91.9940033,93.532547,96.18628693,98.5265274,99.45568848,99.40921021,98.42323303,99.53044891,98.96697235,
Czech Republic,CZE,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,86.14636993,86.51326752,86.54393768,86.76931763,88.47914124,91.34014893,94.13867188,95.75849152,97.03421021,97.0451889,,107.4892807,103.8133316,98.70011902,96.86972809,94.92453003,101.5834885,99.10356903,89.97736359,87.13540649,88.23906708,87.88424683,90.92851257,90.63832855,95.44674683,99.69824219,89.31385803,84.21967316,84.84429169,89.26728058,96.4420929,96.99880219,97.90663147,96.22541809,96.56926727,96.8746109,95.65380096,94.79283905,94.44515991,94.94455719,95.90033722,96.8897171,104.3754807,104.9459686,105.5993881,105.0866318,103.870018,102.5184402,
Germany,DEU,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.29695892,103.3131027,103.6876068,103.0225677,102.7488708,102.754982,97.64620972,97.97509003,98.86846924,99.47975159,100.3640213,100.5138321,100.8364868,100.9135284,101.5113983,100.8686676,101.8078918,100.2867279,101.1528473,100.8767395,99.33998108,98.30722046,97.25179291,96.38323212,96.15122986,95.22350311,94.55297089,
Djibouti,DJI,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,,,,,,,,,,,,3.375530005,,4.269010067,4.327899933,3.970370054,3.215650082,,,,,,6.675779819,7.118659973,7.279399872,7.511330128,8.109560013,9.176230431,8.787619591,8.759980202,,,8.221039772,8.47976017,8.807740211,9.247070313,9.935469627,10.8019104,,12.03382015,11.14498997,12.29284,12.84659958,,16.66744041,18.24350929,18.3971405,22.33481979,27.08064079,31.1091404,,39.40647125,41.49924088,42.82044983,44.99407959,45.32213974,47.21871185,47.59563828,51.53134918,52.93421936
