Country or Area,Year,Area,Type of housing unit,Tenure,Record Type,Reliability,Source Year,Value
_land Islands,2000,Urban,Unknown (type of housing unit),Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,101
_land Islands,2000,Urban,Unknown (type of housing unit),Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,21
_land Islands,2000,Rural,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,6102
_land Islands,2000,Rural,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,4754
_land Islands,2000,Rural,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,923
_land Islands,2000,Rural,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,425
_land Islands,2000,Rural,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,5461
_land Islands,2000,Rural,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,4395
_land Islands,2000,Rural,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,757
_land Islands,2000,Rural,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,309
_land Islands,2000,Rural,Unknown (type of housing unit),Total,Census - de jure - complete tabulation,"Final figure, complete",2009,641
_land Islands,2000,Rural,Unknown (type of housing unit),Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,359
_land Islands,2000,Rural,Unknown (type of housing unit),Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,166
_land Islands,2000,Rural,Unknown (type of housing unit),Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,116
Albania,2011,Total,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,722262
Albania,2011,Total,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,522085
Albania,2011,Total,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,40819
Albania,2011,Total,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,29811
Albania,2011,Total,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,129547
Albania,2011,Total,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,718380
Albania,2011,Total,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,520518
Albania,2011,Total,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,40339
Albania,2011,Total,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,28988
Albania,2011,Total,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,128535
Albania,2011,Total,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,3882
Albania,2011,Total,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,1567
Albania,2011,Total,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,480
Albania,2011,Total,Other housing units,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,823
Albania,2011,Total,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,1012
Albania,2011,Urban,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,409309
Albania,2011,Urban,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,286801
Albania,2011,Urban,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,35373
Albania,2011,Urban,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,11745
Albania,2011,Urban,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,75390
Albania,2011,Urban,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,406648
Albania,2011,Urban,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,285925
Albania,2011,Urban,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,34932
Albania,2011,Urban,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,11162
Albania,2011,Urban,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,74629
Albania,2011,Urban,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,2661
Albania,2011,Urban,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,876
Albania,2011,Urban,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,441
Albania,2011,Urban,Other housing units,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,583
Albania,2011,Urban,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,761
Albania,2011,Rural,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,312953
Albania,2011,Rural,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,235284
Albania,2011,Rural,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,5446
Albania,2011,Rural,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,18066
Albania,2011,Rural,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,54157
Albania,2011,Rural,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,311732
Albania,2011,Rural,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,234593
Albania,2011,Rural,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,5407
Albania,2011,Rural,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,17826
Albania,2011,Rural,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,53906
Albania,2011,Rural,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,1221
Albania,2011,Rural,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,691
Albania,2011,Rural,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,39
Albania,2011,Rural,Other housing units,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,240
Albania,2011,Rural,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2013,251
Anguilla,2011,Total,Total,Total,Census - de facto - complete tabulation,"Final figure, complete",2017,4935
Anguilla,2011,Total,Total,Member of household owns the housing unit,Census - de facto - complete tabulation,"Final figure, complete",2017,2909
Anguilla,2011,Total,Total,Member of household rents all or a part of the housing unit,Census - de facto - complete tabulation,"Final figure, complete",2017,1746
Anguilla,2011,Total,Total,Occupied free of rent,Census - de facto - complete tabulation,"Final figure, complete",2017,230
Anguilla,2011,Total,Total,Other arrangements,Census - de facto - complete tabulation,"Final figure, complete",2017,34
Anguilla,2011,Total,Total,Unknown,Census - de facto - complete tabulation,"Final figure, complete",2017,16
Anguilla,2011,Total,Conventional dwellings,Total,Census - de facto - complete tabulation,"Final figure, complete",2017,4823
Anguilla,2011,Total,Conventional dwellings,Member of household owns the housing unit,Census - de facto - complete tabulation,"Final figure, complete",2017,2845
Anguilla,2011,Total,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de facto - complete tabulation,"Final figure, complete",2017,1703
Anguilla,2011,Total,Conventional dwellings,Occupied free of rent,Census - de facto - complete tabulation,"Final figure, complete",2017,226
Anguilla,2011,Total,Conventional dwellings,Other arrangements,Census - de facto - complete tabulation,"Final figure, complete",2017,33
Anguilla,2011,Total,Conventional dwellings,Unknown,Census - de facto - complete tabulation,"Final figure, complete",2017,16
Anguilla,2011,Total,Other housing units,Total,Census - de facto - complete tabulation,"Final figure, complete",2017,112
Anguilla,2011,Total,Other housing units,Member of household owns the housing unit,Census - de facto - complete tabulation,"Final figure, complete",2017,64
Anguilla,2011,Total,Other housing units,Member of household rents all or a part of the housing unit,Census - de facto - complete tabulation,"Final figure, complete",2017,43
Anguilla,2011,Total,Other housing units,Occupied free of rent,Census - de facto - complete tabulation,"Final figure, complete",2017,4
Anguilla,2011,Total,Other housing units,Other arrangements,Census - de facto - complete tabulation,"Final figure, complete",2017,1
Anguilla,2011,Total,Other housing units,Unknown,Census - de facto - complete tabulation,"Final figure, complete",2017,0
Antigua and Barbuda,2001,Total,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,20437
Antigua and Barbuda,2001,Total,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,12891
Antigua and Barbuda,2001,Total,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,6751
Antigua and Barbuda,2001,Total,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2009,556
Antigua and Barbuda,2001,Total,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,150
Antigua and Barbuda,2001,Total,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,89
Armenia,2011,Total,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,763454
Armenia,2011,Total,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,661817
Armenia,2011,Total,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,23688
Armenia,2011,Total,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2014,49934
Armenia,2011,Total,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2014,28015
Armenia,2011,Total,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,703517
Armenia,2011,Total,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,641845
Armenia,2011,Total,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,14257
Armenia,2011,Total,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2014,47415
Armenia,2011,Total,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2014,0
Armenia,2011,Total,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,22385
Armenia,2011,Total,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,11749
Armenia,2011,Total,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,8965
Armenia,2011,Total,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2014,1612
Armenia,2011,Total,Other housing units,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2014,59
Armenia,2011,Total,Unknown (type of housing unit),Total,Census - de jure - complete tabulation,"Final figure, complete",2014,37552
Armenia,2011,Total,Unknown (type of housing unit),Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,8223
Armenia,2011,Total,Unknown (type of housing unit),Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,466
Armenia,2011,Total,Unknown (type of housing unit),Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2014,907
Armenia,2011,Total,Unknown (type of housing unit),Unknown,Census - de jure - complete tabulation,"Final figure, complete",2014,27956
Armenia,2011,Urban,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,511014
Armenia,2011,Urban,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,437283
Armenia,2011,Urban,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,18987
Armenia,2011,Urban,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2014,37105
Armenia,2011,Urban,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2014,17639
Armenia,2011,Urban,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,472139
Armenia,2011,Urban,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,425572
Armenia,2011,Urban,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,11042
Armenia,2011,Urban,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2014,35525
Armenia,2011,Urban,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2014,0
Armenia,2011,Urban,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,14091
Armenia,2011,Urban,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,5615
Armenia,2011,Urban,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,7570
Armenia,2011,Urban,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2014,887
Armenia,2011,Urban,Other housing units,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2014,19
Armenia,2011,Urban,Unknown (type of housing unit),Total,Census - de jure - complete tabulation,"Final figure, complete",2014,24784
Armenia,2011,Urban,Unknown (type of housing unit),Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,6096
Armenia,2011,Urban,Unknown (type of housing unit),Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,375
Armenia,2011,Urban,Unknown (type of housing unit),Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2014,693
Armenia,2011,Urban,Unknown (type of housing unit),Unknown,Census - de jure - complete tabulation,"Final figure, complete",2014,17620
Armenia,2011,Rural,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,252440
Armenia,2011,Rural,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,224534
Armenia,2011,Rural,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,4701
Armenia,2011,Rural,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2014,12829
Armenia,2011,Rural,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2014,10376
Armenia,2011,Rural,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,231378
Armenia,2011,Rural,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,216273
Armenia,2011,Rural,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,3215
Armenia,2011,Rural,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2014,11890
Armenia,2011,Rural,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2014,0
Armenia,2011,Rural,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2014,8294
Armenia,2011,Rural,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,6134
Armenia,2011,Rural,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,1395
Armenia,2011,Rural,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2014,725
Armenia,2011,Rural,Other housing units,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2014,40
Armenia,2011,Rural,Unknown (type of housing unit),Total,Census - de jure - complete tabulation,"Final figure, complete",2014,12768
Armenia,2011,Rural,Unknown (type of housing unit),Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,2127
Armenia,2011,Rural,Unknown (type of housing unit),Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2014,91
Armenia,2011,Rural,Unknown (type of housing unit),Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2014,214
Armenia,2011,Rural,Unknown (type of housing unit),Unknown,Census - de jure - complete tabulation,"Final figure, complete",2014,10336
Armenia,2001,Total,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,779230
Armenia,2001,Total,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,691445
Armenia,2001,Total,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,50021
Armenia,2001,Total,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,19269
Armenia,2001,Total,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,18495
Armenia,2001,Total,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,718641
Armenia,2001,Total,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,664271
Armenia,2001,Total,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,37062
Armenia,2001,Total,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,15846
Armenia,2001,Total,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,1462
Armenia,2001,Total,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,44224
Armenia,2001,Total,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,27174
Armenia,2001,Total,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,12959
Armenia,2001,Total,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,3423
Armenia,2001,Total,Other housing units,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,668
Armenia,2001,Total,Unknown (type of housing unit),Total,Census - de jure - complete tabulation,"Final figure, complete",2009,16365
Armenia,2001,Total,Unknown (type of housing unit),Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Armenia,2001,Total,Unknown (type of housing unit),Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Armenia,2001,Total,Unknown (type of housing unit),Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Armenia,2001,Total,Unknown (type of housing unit),Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,16365
Armenia,2001,Urban,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,520620
Armenia,2001,Urban,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,458141
Armenia,2001,Urban,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,38250
Armenia,2001,Urban,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,11532
Armenia,2001,Urban,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,12697
Armenia,2001,Urban,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,481772
Armenia,2001,Urban,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,443624
Armenia,2001,Urban,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,27879
Armenia,2001,Urban,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,9897
Armenia,2001,Urban,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,372
Armenia,2001,Urban,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,26756
Armenia,2001,Urban,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,14517
Armenia,2001,Urban,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,10371
Armenia,2001,Urban,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,1635
Armenia,2001,Urban,Other housing units,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,233
Armenia,2001,Urban,Unknown (type of housing unit),Total,Census - de jure - complete tabulation,"Final figure, complete",2009,12092
Armenia,2001,Urban,Unknown (type of housing unit),Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Armenia,2001,Urban,Unknown (type of housing unit),Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Armenia,2001,Urban,Unknown (type of housing unit),Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Armenia,2001,Urban,Unknown (type of housing unit),Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,12092
Armenia,2001,Rural,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,258610
Armenia,2001,Rural,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,233304
Armenia,2001,Rural,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,11771
Armenia,2001,Rural,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,7737
Armenia,2001,Rural,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,5798
Armenia,2001,Rural,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,236869
Armenia,2001,Rural,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,220647
Armenia,2001,Rural,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,9183
Armenia,2001,Rural,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,5949
Armenia,2001,Rural,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,1090
Armenia,2001,Rural,Other housing units,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,17468
Armenia,2001,Rural,Other housing units,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,12657
Armenia,2001,Rural,Other housing units,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,2588
Armenia,2001,Rural,Other housing units,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,1788
Armenia,2001,Rural,Other housing units,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,435
Armenia,2001,Rural,Unknown (type of housing unit),Total,Census - de jure - complete tabulation,"Final figure, complete",2009,4273
Armenia,2001,Rural,Unknown (type of housing unit),Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Armenia,2001,Rural,Unknown (type of housing unit),Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Armenia,2001,Rural,Unknown (type of housing unit),Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2009,0
Armenia,2001,Rural,Unknown (type of housing unit),Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,4273
Aruba,2010,Total,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,34845.27664
Aruba,2010,Total,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,23362.96133
Aruba,2010,Total,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,9998.316984
Aruba,2010,Total,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,1304.316549
Aruba,2010,Total,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2013,179.6817819
Aruba,2010,Total,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,34845.27664
Aruba,2010,Total,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,23362.96133
Aruba,2010,Total,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2013,9998.316984
Aruba,2010,Total,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2013,1304.316549
Aruba,2010,Total,Conventional dwellings,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2013,179.6817819
Australia,2016,Total,Total,Total,Census - de jure - complete tabulation,"Final figure, complete",2017,8861623
Australia,2016,Total,Total,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2017,5490347
Australia,2016,Total,Total,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2017,2522971
Australia,2016,Total,Total,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2017,83662
Australia,2016,Total,Total,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2017,83669
Australia,2016,Total,Total,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2017,680970
Australia,2016,Total,Conventional dwellings,Total,Census - de jure - complete tabulation,"Final figure, complete",2017,8687058
Australia,2016,Total,Conventional dwellings,Member of household owns the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2017,5409657
Australia,2016,Total,Conventional dwellings,Member of household rents all or a part of the housing unit,Census - de jure - complete tabulation,"Final figure, complete",2017,2480952
Australia,2016,Total,Conventional dwellings,Occupied free of rent,Census - de jure - complete tabulation,"Final figure, complete",2017,79946
Australia,2016,Total,Conventional dwellings,Other arrangements,Census - de jure - complete tabulation,"Final figure, complete",2017,80130
